ID,Context_word_count,Human_response_word_count,FT_response_word_count,GPT_response_word_count
context_543,50,96,149,118
context_544,51,442,146,80
context_545,52,294,164,82
context_546,81,125,153,164
context_547,56,89,160,101
context_548,39,206,153,104
context_549,106,80,152,158
context_550,44,279,158,152
context_551,80,401,154,154
context_552,135,245,117,120
context_553,53,87,152,96
context_554,71,108,156,90
context_555,88,107,137,108
context_556,25,207,161,81
context_557,65,171,162,78
context_558,122,135,117,154
context_559,64,172,135,162
context_560,40,192,94,82
context_561,42,223,159,86
context_562,66,68,137,168
context_563,90,212,145,95
context_564,67,302,182,96
context_565,109,273,73,133
context_566,83,136,171,121
context_567,22,215,131,65
context_568,49,65,143,88
context_569,42,59,145,76
context_570,61,126,165,85
context_571,128,152,144,137
context_572,49,109,171,84
context_573,50,495,169,87
context_574,105,249,173,106
context_575,78,114,106,122
context_576,43,107,163,73
context_577,78,101,172,71
context_578,151,73,129,127
context_579,47,185,115,84
context_580,66,124,152,104
context_581,26,77,162,102
context_582,28,100,164,75
context_583,79,94,155,52
context_584,120,524,133,152
context_585,43,304,154,120
context_586,55,88,158,68
context_587,58,133,159,110
context_588,50,165,148,75
context_589,180,102,142,171
context_590,39,138,111,95
context_591,307,215,129,173
context_592,163,127,125,135
context_593,60,56,147,133
context_594,338,433,150,144
context_595,57,169,157,48
context_596,74,247,149,80
context_597,71,215,169,60
context_598,146,282,157,148
context_599,47,261,153,88
context_600,54,139,119,99
context_601,62,28,136,113
context_602,37,216,116,67
context_603,27,126,150,90
context_604,72,118,164,101
context_605,291,287,161,96
context_606,46,130,109,95
context_607,96,332,125,87
context_608,59,100,166,105
context_609,74,179,164,163
context_610,62,89,152,83
context_611,174,305,144,107
context_612,48,209,159,58
context_613,104,38,151,78
context_614,81,157,115,91
context_615,56,241,148,97
context_616,52,160,160,83
context_617,115,101,167,153
context_618,109,116,158,102
context_619,202,163,166,171
context_620,102,436,167,94
context_621,84,226,142,87
context_622,286,137,152,88
context_623,66,218,165,102
context_624,110,177,147,123
context_625,56,29,143,155
context_626,126,338,141,124
context_627,61,375,129,108
context_628,47,95,149,116
context_629,70,84,155,95
context_630,41,169,153,84
context_631,86,334,137,112
context_632,153,110,174,125
context_633,191,190,152,175
context_634,88,90,163,112
context_635,110,184,146,152
context_636,126,104,163,111
context_637,52,226,165,78
context_638,172,121,164,134
context_639,43,129,156,145
context_640,28,128,154,149
context_641,20,373,149,79
context_642,103,166,161,162
context_643,35,186,166,136
context_644,25,87,143,88
context_645,151,86,157,118
context_646,182,100,162,158
context_647,51,291,157,45
context_648,23,243,145,106
context_649,16,72,149,81
context_650,51,663,161,79
context_651,66,68,149,152
context_652,46,378,153,153
context_653,27,268,127,81
context_654,38,225,157,147
context_655,137,114,114,93
context_656,173,400,144,167
context_657,33,102,140,96
context_658,70,355,167,78
context_659,202,226,162,171
context_660,17,93,166,79
context_661,49,138,159,69
context_662,52,360,168,111
context_663,47,75,94,95
context_664,118,222,163,121
context_665,71,143,126,93
context_666,197,216,154,138
context_667,171,138,170,122
context_668,105,337,161,105
context_669,230,257,159,165
context_670,67,87,178,115
context_671,52,100,157,54
context_672,48,174,142,104
context_673,83,295,104,84
context_674,68,102,104,125
context_675,69,152,155,66
context_676,79,109,164,75
context_677,88,122,162,95
context_678,97,69,167,71
context_679,40,99,160,53
context_680,130,27,163,160
context_681,129,290,125,100
context_682,39,157,159,123
context_683,64,251,151,116
context_684,67,119,136,141
context_685,26,231,157,157
context_686,81,126,173,162
context_687,39,149,154,94
context_688,418,148,153,137
context_689,109,80,154,137
context_690,46,88,164,88
context_691,94,282,135,76
context_692,29,73,114,161
context_693,18,58,140,82
context_694,22,251,144,131
context_695,78,123,150,117
context_696,19,100,166,131
context_697,88,183,176,119
context_698,83,263,165,98
context_699,58,117,151,86
context_700,44,118,164,80
context_701,79,95,154,121
context_702,55,250,159,97
context_703,48,213,175,80
context_704,29,86,142,136
context_705,20,411,120,85
context_706,69,43,150,83
context_707,51,113,170,154
context_708,91,81,173,153
context_709,19,72,164,138
context_710,66,22,142,96
context_711,47,119,151,122
context_712,185,146,163,150
context_713,25,482,150,147
context_714,97,179,159,148
context_715,44,104,166,96
context_716,57,199,140,140
context_717,73,567,165,93
context_718,90,78,144,158
context_719,93,139,162,86
context_720,193,143,130,157
context_721,74,159,148,152
context_722,34,252,150,113
context_723,51,216,149,109
context_724,19,178,165,80
context_725,36,88,135,107
context_726,37,144,98,106
context_727,11,386,153,73
context_728,50,80,161,96
context_729,151,112,159,162
context_730,72,137,148,85
context_731,68,92,158,97
context_732,22,78,166,128
context_733,72,39,115,73
context_734,72,91,154,120
context_735,20,393,158,124
context_736,56,451,151,100
context_737,48,127,121,152
context_738,65,223,161,158
context_739,80,228,128,131
context_740,40,92,174,158
context_741,30,9,168,66
context_742,130,146,155,162
context_743,350,130,157,61
context_744,56,102,168,108
context_745,111,46,138,82
context_746,96,233,166,112
context_747,10,33,162,80
context_748,110,175,130,155
context_749,84,206,123,117
context_750,51,86,164,94
context_751,57,191,132,106
context_752,96,211,110,100
context_753,33,234,145,99
context_754,56,143,143,117
context_755,47,255,154,103
context_756,56,130,145,102
context_757,57,135,154,72
context_758,71,148,159,86
context_759,30,252,159,140
context_760,27,101,167,90
context_761,51,340,150,105
context_762,64,151,149,117
context_763,49,202,163,73
context_764,59,104,161,150
context_765,67,150,165,88
context_766,50,94,151,149
context_767,56,528,155,74
context_768,61,103,159,98
context_769,66,288,161,78
context_770,18,162,155,88
context_771,69,136,160,98
context_772,66,106,137,158
context_773,56,139,138,110
context_774,25,106,156,76
context_775,65,167,152,114
context_776,51,88,144,123
context_777,61,66,152,144
context_778,61,257,139,104
context_779,64,275,167,97
context_780,19,141,123,77
context_781,75,205,160,118
context_782,83,929,131,113
context_783,91,275,160,135
context_784,63,67,117,93
context_785,52,133,170,102
context_786,36,221,153,78
context_787,52,151,152,133
context_788,28,96,133,93
context_789,32,329,144,76
context_790,42,193,157,110
context_791,67,131,147,120
context_792,29,72,166,89
context_793,20,18,152,87
context_794,157,171,131,153
context_795,57,294,141,107
context_796,23,21,154,76
context_797,65,739,137,143
context_798,19,69,165,83
context_799,74,487,165,119
context_800,92,169,154,92
context_801,72,98,166,85
context_802,75,166,165,99
context_803,89,368,163,103
context_804,81,170,156,153
context_805,38,70,168,69
context_806,33,211,167,100
context_807,115,122,166,103
context_808,48,70,152,98
context_809,68,77,154,106
context_810,72,573,122,99
context_811,48,139,164,100
context_812,107,194,166,169
context_813,70,130,165,156
context_814,41,90,152,80
context_815,37,396,120,123
context_816,197,125,89,130
context_817,31,78,152,97
context_818,115,145,148,88
context_819,40,229,138,110
context_820,131,247,160,128
context_821,107,124,149,76
context_822,123,63,160,140
context_823,93,111,145,137
context_824,20,207,105,71
